Foundation type (group),Project Name,Status,Total Project Capacity,Year awarded (group),Commissioning date,Distance To Shore Average,Number Of Turbines,Owner,Status,To_Show_Turbine_Manufacturer,Total Project Capacity,Water Depth Average,GIS Latitude,GIS Longitude
Monopile,Sofia,Under construction,1400,2019,2026,195,100,RWE,Under construction,Siemens Gamesa,1400,34,54.989,2.228
Monopile,East Anglia Hub (Three),Under construction,1400,2022,2026,74.6,100,Iberdrola Renovables,Under construction,Siemens Gamesa,1400,40,52.669,2.855
Monopile,Dogger Bank (phase B),Under construction,1200,2019,2025,131,95,Vårgrønn & Equinor & SSE Renewables,Under construction,GE Renewable Energy,1200,32.5,54.977,1.679
Monopile,Dogger Bank (phase A),Under construction,1200,2019,2024,131,95,Vårgrønn & Equinor & SSE Renewables,Under construction,GE Renewable Energy,1200,27.5,54.769,1.908
Monopile,Thor,Under construction,1000,2021,2027,50,72,RWE,Under construction,Siemens Gamesa,1000,,56.325,7.8354
Monopile,EnBW He Dreiht,Under construction,960,2017,2025,85,70,EnBW,Under construction,MHI Vestas Offshore Wind,960,39,54.365,6.186
Monopile,Borkum Riffgrund 3,Under construction,913,2017,2025,52.5,83,Glennmont Partners & Ørsted,Under construction,Siemens Gamesa (2022),913,31.5,54.04,6.18
Monopile,Moray West,Under construction,882,2022,2025,22,60,Ignitis Grupe & Ocean Winds,Under construction,Siemens Gamesa (2022),882,45,58.097,-3.007
Monopile,Hollandse Kust Noord 5,Under construction,759,2020,2023,18.5,69,Eneco & Shell,Under construction,Siemens Gamesa,759,12,52.327,4.072
Monopile,Hollandse Kust Zuid 3&4,Under construction,749,2019,2023,27,69,Allianz Capital Partners & BASF & Vattenfall,Under construction,Siemens Gamesa,749,20,52.28,4.084
Gravity Base,Fécamp,Under construction,497,2012,2023,18.5,71,EDF Renouvelables & Enbridge & Skyborn Renewables,Under construction,Siemens Gamesa,497,29,49.866,0.268
Jacket,Saint Brieuc,Under construction,496,2012,2023,20,62,Iberdrola Renovables,Under construction,Siemens Gamesa,496,29.5,48.853,-2.536
Monopile,Isles of Yeu / Noirmoutier,Under construction,496,2014,2025,20,62,Ocean Winds & Sumimoto Corporation & Caisse des Dépôts et consignations & Vendee Energie,Under construction,Siemens Gamesa,496,27,46.874,-2.513
Jacket,Dieppe / Le Tréport,Under construction,496,2012,2025,14,62,Ocean Winds & Sumimoto Corporation & Caisse des Dépôts et consignations,Under construction,Siemens Gamesa,496,15,50.149,1.121
Monopile,Baltic Eagle,Under construction,476.25,2018,2024,30,50,Iberdrola Renovables,Under construction,MHI Vestas Offshore Wind,476.25,43,54.827,13.866
Jacket,Neart na Gaoithe,Under construction,448,2015,2024,18,54,EDF Renouvelables & ESB,Under construction,SIEMENS Wind Power,448,50,56.2676,-2.25
Monopile,Courseulles-sur-Mer,Under construction,448,2012,2025,10,64,Canada Pension Plan Investment Board (CPPIB) & EDF Renouvelables & Enbridge & Skyborn Renewables,Under construction,Siemens Gamesa,448,26.5,49.469,-0.522
Monopile,Gode Wind 3,Under construction,253,2018,2024,42,22,Ørsted,Under construction,Siemens Gamesa,253,33,54.0405,7.0935
Barge,EolMed,Under construction,30,2015,2025,15,3,BW Ideol & Quadran Energies Marines & TotalEnergies,Under construction,MHI Vestas Offshore Wind (2022),30,55,43.023,3.327
Semi-Sub,EFGL,Under construction,30,2015,2024,16,3,Caisse des Dépôts et consignations & Ocean Winds,Under construction,MHI Vestas Offshore Wind (2022),30,70,42.833,3.265
TLP,Provence Grand Large,Under construction,25,2016,2023,17,3,Canada Pension Plan Investment Board (CPPIB) & EDF Renouvelables & Enbridge,Under construction,Siemens Gamesa,25,100,43.19,4.794
Jacket,Seagreen,Partially online,1075,2019,2023,34.5,114,SSE Renewables & TotalEnergies,Partially online,MHI Vestas Offshore Wind,1075,52.5,56.59,-1.74
Monopile,Hollandse Kust Zuid 1&2,Partially online,760,2018,2023,27,70,Allianz Capital Partners & BASF & Vattenfall,Partially online,Siemens Gamesa,760,20,52.327,4.072
